DriverID, salary, size_of_vehicle, level_of_dangerousness, urban_rural
001,55000,3,	2,	Rural
002,50000,2,	3,	Urban
003,50000,4,	3,	Rural
004,47000,2,	1,	Urban
005,65000,5,	4,	Rural
006,53000,3,	3,	Urban
007,70000,5,	5,	Rural
008,45000,1,	1,	Urban
009,60000,4,	4,	Rural
010,52000,3,	2,	Urban
011,56000,3,3,Rural
012,51000,2,4,Urban
013,60000,4,3,Rural
014,48000,2,2,Urban
015,66000,5,4,Rural
016,54000,3,3,Urban
017,72000,5,5,Rural
018,46000,1,1,Urban
019,61000,4,4,Rural
020,53000,3,2,Urban
021,57000,3,3,Rural
022,52000,2,4,Urban
023,61000,4,3,Rural
024,49000,2,2,Urban
025,67000,5,4,Rural
026,55000,3,3,Urban
027,73000,5,5,Rural
028,47000,1,1,Urban
029,62000,4,4,Rural
030,54000,3,2,Urban
031,58000,3,3,Rural
032,53000,2,4,Urban
033,62000,4,3,Rural
034,50000,2,2,Urban
035,68000,5,4,Rural
036,56000,3,3,Urban
037,74000,5,5,Rural
038,48000,1,1,Urban
039,63000,4,4,Rural
040,55000,3,2,Urban
041,59000,3,3,Rural
042,54000,2,4,Urban
043,63000,4,3,Rural
044,51000,2,2,Urban
045,69000,5,4,Rural
046,57000,3,3,Urban
047,75000,5,5,Rural
048,49000,1,1,Urban
049,64000,4,4,Rural
050,56000,3,2,Urban
051,60000,3,3,Rural
052,55000,2,4,Urban
053,64000,4,3,Rural
054,52000,2,2,Urban
055,70000,5,4,Rural
056,58000,3,3,Urban
057,76000,5,5,Rural
058,50000,1,1,Urban
059,65000,4,4,Rural
060,57000,3,2,Urban
061,61000,3,3,Rural
062,56000,2,4,Urban
063,65000,4,3,Rural
064,53000,2,2,Urban
065,71000,5,4,Rural
066,59000,3,3,Urban
067,77000,5,5,Rural
068,51000,1,1,Urban
069,66000,4,4,Rural
070,58000,3,2,Urban
071,62000,3,3,Rural
072,57000,2,4,Urban
073,66000,4,3,Rural
074,54000,2,2,Urban
075,72000,5,4,Rural
076,60000,3,3,Urban
077,78000,5,5,Rural
078,52000,1,1,Urban
079,67000,4,4,Rural
080,59000,3,2,Urban
081,63000,3,3,Rural
082,58000,2,4,Urban
083,67000,4,3,Rural
084,55000,2,2,Urban
085,73000,5,4,Rural
086,61000,3,3,Urban
087,79000,5,5,Rural
088,53000,1,1,Urban
089,68000,4,4,Rural
090,60000,3,2,Urban
091,64000,3,3,Rural
092,59000,2,4,Urban
093,68000,4,3,Rural
094,56000,2,2,Urban
095,74000,5,4,Rural
096,62000,3,3,Urban
097,80000,5,5,Rural
098,54000,1,1,Urban
099,69000,4,4,Rural
100,61000,3,2,Urban